,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: Please provide the name(s) of the main research software you use.,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
83,8/26/2014 8:55:26,university of cardiff,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"QuB (http://www.qub.buffalo.edu), GraphPad Prism, 4Peaks, Leica Lite, Maxchelator, JustBio",Postdoctoral researcher,Female,Fixed term,Mac OS X,True
84,8/26/2014 10:42:14,university of cambridge,I conduct research,,,,,Engineering & technology,industry,More than 20 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"SPSS,R",Director of Education,Male,Permanent,Don't have a preference,True
85,8/26/2014 14:15:32,ucl,I support researchers,,,,,"Medicine, dentistry & health",don't know,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,,Clinical Research Nurse,Female,Fixed term,Microsoft Windows,False
86,8/26/2014 16:04:13,university of newcastle,I conduct research,,,,,Engineering & technology,european union,11-15 years,Yes,It would not be practical to conduct my work without software,No,Yes - a taught course,I'm not involved in bid writing,"Ansys APDL (for solids), CFX (for fluids), LS-DYNA (for impact and nonlinearity), Visual DOC (for optimization), Physica (once used for FEM).",Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
87,8/26/2014 16:18:53,university of newcastle,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"MATLAB, ANSYS, R",Lecturer,Male,Permanent,Linux,True
88,8/27/2014 11:28:29,university of cardiff,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,1-5 years,No,It would make no significant difference to my work,No,No,No,,Lecturer,Female,Fixed term,Microsoft Windows,False
89,8/27/2014 11:33:43,university of newcastle,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"CCP4 Suite, Global Phasing, GDA (DIAMOND), EDNA, PyMol, Dotmatics, StarDrop, CrystalClear, GraphPad Prism, SigmaPlot, Mogul (CCDC), CrystalTrak, ChemDraw, Coot, EditSeq (DNASTAR), AstexViewer, in-house developed solutions, e.g. Capture Molecules (MEMN) & TrayMaker",Postdoctoral researcher,Female,Fixed term,Don't have a preference,True
90,8/28/2014 10:13:42,ucl,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,"HORACE, MANTID,GENIE (used at ISIS for analysing neutron scattering experiments)",Professor,Male,Permanent,Mac OS X,True
91,8/28/2014 13:18:27,university of edinburgh,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,1-5 years,Yes,It would make no significant difference to my work,No,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"Matlab,GP/pari",Postdoctoral researcher,Male,Fixed term,Don't have a preference,True
92,8/29/2014 12:57:04,ucl,I conduct research,,,,,Social studies,european union,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"VEDA, ANSWER, Excel, SPSS, MCM Mapper, Plot Digitizer, NVivo",Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
93,9/1/2014 10:11:11,university of edinburgh,I conduct research, I manage researchers or research projects,,,,"Agriculture, forestry & veterinary science",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"R, Python, Matlab, IDL, QGIS",Lecturer,Male,Permanent,Mac OS X,True
94,9/1/2014 11:52:11,university of cambridge,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,,,Male,Fixed term,Mac OS X,False
95,9/1/2014 17:38:48,ucl,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project","Matlab and IDL.,Excel is used for making quick graphs from data tables but not for publishable figures",Postdoctoral researcher,Male,Fixed term,Don't have a preference,True
96,9/1/2014 20:31:03,university of cambridge,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,non-uk government,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","matlab, gummi, latex, python",PhD student,Male,Fixed term,Don't have a preference,True
97,9/4/2014 13:02:02,university of edinburgh,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"FLEx, praat",PhD student,Male,Fixed term,Microsoft Windows,True
98,10/14/2014 11:10:25,ucl,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"Matlab, LabVIEW, Excel, ImageJ, own-developed Fortran",Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
99,10/14/2014 15:31:01,university of cardiff,I conduct research, I support researchers,,,,"Medicine, dentistry & health",wellcome trust,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Excel, Prism, ImageJ, Flow Jo",PhD student,Female,Fixed term,Mac OS X,True
100,10/17/2014 9:43:40,university of sheffield,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,1-5 years,No,It would make no significant difference to my work,No,No,No,,PhD student,Female,Fixed term,Microsoft Windows,False
101,10/17/2014 9:50:28,imperial college london,I conduct research, I support researchers, I manage researchers or research projects,,,Engineering & technology,epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,"No, but we expected to develop software as part of the project","origin, kaleidograph, sansview, athena (and associated programmes), various in-house python routines, imageJ",Professor,Female,Permanent,Don't have a preference,True
102,10/17/2014 10:49:22,university of birmingham,I conduct research,,,,,"Medicine, dentistry & health",industry,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,"MEDcalc, IPA, David, SPSS, Galaxy, SAM, R, ",Lecturer,Female,Permanent,Microsoft Windows,True
103,10/17/2014 10:52:08,university of bristol,I conduct research,,,,,Engineering & technology,industry,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Visual Studio,Matlab,Autodesk Inventor",PhD student,Male,Fixed term,Microsoft Windows,True
104,10/17/2014 11:14:53,university of liverpool,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"R, Linux code",Postdoctoral researcher,Male,Fixed term,Don't have a preference,True
105,10/17/2014 11:19:18,university of nottingham,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Medicine, dentistry & health",mrc - medical research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","MatLab, FSL, SPSS, STATA",Dr,Female,Permanent,Microsoft Windows,True
106,10/17/2014 11:19:21,university of nottingham,I conduct research,,,,,"Medicine, dentistry & health",university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,No,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"Excel,SPSS,nVIVO,RevMan/Review Manager",PhD student,Female,Prefer not to say,Microsoft Windows,True
107,10/17/2014 11:19:24,university of bristol,I conduct research, I support researchers,,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Matlab,,Labview,,Control Desk (Dspace),,LabTest LMS software,,Python ,,Auto (bifurcations),,Maple,,",Postdoctoral researcher,Male,Fixed term,Mac OS X,True
108,10/17/2014 11:36:35,university of liverpool,I conduct research,,,,,Humanities & language based studies & archaeology,self funded,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,,Research Fellow,Male,Prefer not to say,Microsoft Windows,False
109,10/17/2014 11:50:45,queen's university belfast,I support researchers, I manage researchers or research projects,,,,"Medicine, dentistry & health",european union,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"SPSS,",Clinical Study Co-ordinator,Female,Fixed term,Microsoft Windows,True
110,10/17/2014 11:56:22,university of leeds,I conduct research,,,,,Humanities & language based studies & archaeology,don't know,1-5 years,No,It would make no significant difference to my work,No,No,No,,PhD student,Male,Prefer not to say,Microsoft Windows,False
111,10/17/2014 11:58:40,university of sheffield,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,mathematica,Professor,Female,Permanent,Microsoft Windows,True
112,10/17/2014 11:59:07,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,Mathematica,PhD student,Female,Fixed term,Mac OS X,True
113,10/17/2014 12:00:02,imperial college london,I manage researchers or research projects,,,,,"Biological, mathematical & physical sciences",wellcome trust,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"Simple PCI, Graphpad Prism, Abi PRISM 7700",Lecturer,Male,Permanent,Microsoft Windows,True
114,10/17/2014 12:01:12,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,"R, RStudio, Excel,",PhD student,Female,Fixed term,Microsoft Windows,True
115,10/17/2014 12:01:40,university of birmingham,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"Matlab, ArcGIS, Minitab, GlobalMapper, GoogleEarth, Caris, The Kingdom Software",Postdoctoral researcher,Prefer not to say,Fixed term,Microsoft Windows,True
116,10/17/2014 12:07:13,university of birmingham,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Matlab, OriginPro, Labview, QTIplot, Excel. ",Research Fellow,Male,Fixed term,Don't have a preference,True
117,10/17/2014 12:14:57,university of birmingham,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,More than 20 years,Yes,It would make no significant difference to my work,No,No,No,,Professor,Male,Permanent,Don't have a preference,False
118,10/17/2014 12:15:20,imperial college london,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would make no significant difference to my work,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Fenics, doflin-adjoint, OpenTidalFarm",PhD student,Male,Fixed term,Mac OS X,True
119,10/17/2014 12:18:17,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Cape-Open Flowsheeting Environment ,Berkeley-Madonna,Gaussian,Pymol,Sketchup,Labview,Python 3,MestraNova,Chem Station,ChemDraw,Origin,MS Excel,MS Word,MS Powerpoint,",Postdoctoral researcher,Male,Fixed term,Don't have a preference,True
120,10/17/2014 12:21:42,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"MATLAB, OriginPro",Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
121,10/17/2014 12:21:45,queen's university belfast,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",mrc - medical research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"Matlab, PASW/SPSS, STATA, nVivo",Research Fellow,Prefer not to say,Fixed term,Don't have a preference,True
122,10/17/2014 12:24:54,university of nottingham,I manage researchers or research projects,,,,,"Agriculture, forestry & veterinary science",non-uk government,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,,Associate Professor,Male,Permanent,Microsoft Windows,False
123,10/17/2014 13:10:40,university of glasgow,I conduct research, I develop software for researchers,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"COSA, OPENFOAM",Postdoctoral researcher,Male,Fixed term,Linux,True
124,10/17/2014 13:16:56,university of bristol,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",mrc - medical research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"Endnote, STATA",Postdoctoral researcher,Female,Fixed term,Don't have a preference,True
125,10/17/2014 13:47:09,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,Less than a year,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"Mathematica, Matlab",PhD student,Female,Prefer not to say,Microsoft Windows,True
126,10/17/2014 13:58:58,university of leeds,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","R, C++, my own software written in R or C++",Lecturer,Male,Permanent,Linux,True
127,10/17/2014 14:12:56,university of glasgow,I conduct research,,,,,Social studies,esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Excel, R, Mendeley, Word, GitHub.",Research Fellow,Male,Fixed term,Microsoft Windows,True
128,10/17/2014 14:18:37,university of birmingham,I conduct research, I develop software for researchers,,,,Humanities & language based studies & archaeology,european union,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"collateX, everything else developed in house",Postdoctoral researcher,Female,Fixed term,Linux,True
129,10/17/2014 14:43:05,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"MATLAB,LabView,Arduino IDE, C++,python ",PhD student,Male,Fixed term,Mac OS X,True
130,10/17/2014 15:00:17,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"IGOR Pro, Origin, Matlab, Proprietary spectroscopy software, Latex",PhD student,Male,Fixed term,Mac OS X,True
131,10/17/2014 15:11:03,university of nottingham,I conduct research, I support researchers, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,,Lecturer,Male,Fixed term,Linux,False
132,10/17/2014 15:14:38,university of nottingham,I conduct research,,,,,"Agriculture, forestry & veterinary science",mixed funding,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, MLwiN",Postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
133,10/17/2014 15:17:15,imperial college london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,industry,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,"No, but we expected to develop software as part of the project","Have developed my own, which External organisations use.",Lecturer,Male,Permanent,Linux,True
134,10/17/2014 15:44:43,university of glasgow,I conduct research, I develop software for researchers,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,No,,Postdoctoral researcher,Male,Fixed term,Mac OS X,False
135,10/17/2014 15:53:32,university of birmingham,I conduct research, I manage researchers or research projects, Lecture,,,"Biological, mathematical & physical sciences",esrc - economic and social research council,11-15 years,Yes,It would not be practical to conduct my work without software,No,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"SPSS,Bespoke experimental packages",Reader,Female,Permanent,Microsoft Windows,True
136,10/17/2014 16:10:55,university of sheffield,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,1-5 years,No,It would make no significant difference to my work,No,No,No,,Lecturer,Male,Fixed term,Microsoft Windows,False
137,10/17/2014 16:29:20,queen's university belfast,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",nihr,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Microsoft office, SPSS, stata, Matlab, R, Prism, ",Lecturer,Female,Permanent,Mac OS X,True
138,10/17/2014 16:47:58,university of glasgow,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,Yes,"oXygen,XML",Lecturer,Female,Permanent,Microsoft Windows,True
139,10/17/2014 17:06:48,university of birmingham,I conduct research, I manage researchers or research projects,,,,Social studies,epsrc - engineering and physical sciences research council,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,NVivo,Lecturer,Female,Permanent,Microsoft Windows,True
140,10/17/2014 17:22:38,university of leeds,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",nihr,More than 20 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,"SPSS, Bristol Online Survey, Excel",Professor,Male,Permanent,Microsoft Windows,True
141,10/17/2014 19:39:00,imperial college london,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","LAMMPS, CASTEP, VASP,,My group has written a lot of software that is not available elsewhere",Professor,Male,Permanent,Linux,True
142,10/18/2014 9:25:03,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"Arc-gis, fledermaus, Kingdom, promax, petromod, rokdoc, seisworks,,As many in-house codes",,,,,True
143,10/18/2014 15:06:46,university of leeds,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"intel, pgi, netcdf, fortran, openmpi,MPI,grads,ferret, idl,etc, CESM,geov",Postdoctoral researcher,Male,Permanent,Linux,True
144,10/19/2014 9:03:05,university of nottingham,I conduct research,,,,,Education,uk government,6-10 years,Yes,It would make no significant difference to my work,No,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","dedoose, nvivo ",Researcher,Female,Fixed term,Mac OS X,True
145,10/19/2014 17:54:10,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,european union,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","gpde, mgopt, hydra, openfoam, tapenade, dco, adol-c, hypre, trilinos, snopt",Lecturer,Prefer not to say,Permanent,Linux,True
146,10/19/2014 18:52:28,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No,"MATLAB, Visual Studio",PhD student,Male,Fixed term,Microsoft Windows,True
147,10/20/2014 8:50:40,university of sheffield,I conduct research,,,,,"Medicine, dentistry & health",university central funds,1-5 years,Yes,It would make no significant difference to my work,No,No,I'm not involved in bid writing,"SPSS, Endnote",PhD student,Female,Fixed term,Mac OS X,True
148,10/20/2014 9:30:29,queen mary university of london,I conduct research,,,,,Social studies,esrc - economic and social research council,1-5 years,No,It would make no significant difference to my work,No,No,No,,Lecturer,Male,Permanent,Microsoft Windows,False
149,10/20/2014 9:36:25,university of glasgow,I support researchers,,,,,Social studies,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"java, python, R, STATA, SPSS, bash, OpenRefine, ",Scientific Computing Officer,Male,Fixed term,Linux,True
150,10/20/2014 9:43:57,university of nottingham,I conduct research,,,,,"Medicine, dentistry & health",nihr,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Matlab,ObjectPascal, FreeSurfer. MS-Excel/LibreOffice-Calc",Research Fellow,Male,Fixed term,Don't have a preference,True
151,10/20/2014 9:48:31,university of glasgow,I conduct research,,,,,"Medicine, dentistry & health",don't know,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,,Lecturer,Female,Permanent,Microsoft Windows,False
152,10/20/2014 9:48:33,university of glasgow,I conduct research,,,,,"Medicine, dentistry & health",don't know,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,,Lecturer,Female,Permanent,Microsoft Windows,False
153,10/20/2014 9:49:47,queen mary university of london,I conduct research, I support researchers,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,"Minitab, Sigmaplot, Matlab, Microsoft Excel, Endnote, Gimp/Adobe Photoshop ",Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
154,10/20/2014 9:50:55,queen's university belfast,I conduct research,,,,,Engineering & technology,european union,More than 20 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,I'm not involved in bid writing,"SPSS, QSR NVivo",Postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
155,10/20/2014 9:51:00,university of bristol,I conduct research,,,,,"Medicine, dentistry & health",esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","IBM SPSS, AMOS, EQS, LIVECODE",Postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
156,10/20/2014 10:11:41,university of nottingham,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","python, matlab, R, sage, ...",Associate Professor,Male,Permanent,Linux,True
157,10/20/2014 10:13:57,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"ROOT, Mathematica, Matlab, Latex, Comsol, Labview",Research Fellow,Male,Fixed term,Linux,True
158,10/20/2014 10:19:07,university of sheffield,I conduct research,,,,,Administrative & business studies,university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"SPSS, Amos, NVivo, Excel.",PhD student,Male,Prefer not to say,Microsoft Windows,True
159,10/20/2014 10:30:09,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"SPSS, Volocity, Excel, ImageJ, FLIR Thermal Imaging, ",PhD student,Female,Fixed term,Microsoft Windows,True
160,10/20/2014 11:31:15,imperial college london,I conduct research, I manage researchers or research projects,,,,Engineering & technology,industry,More than 20 years,Yes,"My work would require more effort, but it would still be possible",No,No,"No, but we expected to develop software as part of the project","Petrel, Kingdom Suite, IRAP-RMS, Passage, ImageJ, Fraclac, Excel",Reader,Male,Permanent,Microsoft Windows,True
161,10/20/2014 11:33:48,imperial college london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"R, Self-built models in GAMS Java and Python",Lecturer,Male,Permanent,Mac OS X,True
162,10/20/2014 11:40:59,university of liverpool,I conduct research,,,,,Social studies,university central funds,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,Nvivo,Lecturer,Female,Permanent,Microsoft Windows,True
163,10/20/2014 11:51:33,university of bristol,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Visual Studio c++,Ghostscript, Ghostview,Excel,Word",Postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
164,10/20/2014 11:57:15,university of sheffield,I conduct research,,,,,Administrative & business studies,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"Mendely, Qualtrics, MPlus, SPSS, ",PhD student,Female,Fixed term,Microsoft Windows,True
165,10/20/2014 12:03:23,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,"UK Met Office Unified Model (Climate model), BASISM (ice sheet model), Biggs iceberg model, BIOME4 (vegetation model), bespoke processing and analysis scripts and various analysis and visualisation tools, including ferret, MATLAB, panoply, nco, cdo etc.",Postdoctoral researcher,Male,Prefer not to say,Don't have a preference,True
166,10/20/2014 12:06:23,university of glasgow,I conduct research,,,,,Social studies,university central funds,15-20 years,No,It would make no significant difference to my work,No,No,No,,Lecturer,Female,Permanent,Microsoft Windows,False
167,10/20/2014 12:07:19,university of glasgow,I conduct research,,,,,Humanities & language based studies & archaeology,european research council,1-5 years,No,It would make no significant difference to my work,No,No,I'm not involved in bid writing,,,Female,Fixed term,Mac OS X,False
168,10/20/2014 12:17:12,university of bristol,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"MATLAB,Origin,MEEP,Labview,Winspec,Microsoft Excel,",PhD student,Male,Fixed term,Microsoft Windows,True
169,10/20/2014 12:22:53,imperial college london,I support researchers, I develop software for researchers,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"C++, Python, ROOT, Bash",PhD student,Male,Fixed term,Linux,True
170,10/20/2014 12:25:28,imperial college london,I conduct research, I support researchers, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","C#, Visual Studio, Asp.net, Excel, MongoDB, SQLServer",Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
