,Unnamed: 0,Question 11: Please provide the name(s) of the main research software you use,Software,Number
784,,,quip,1.0
785,,,r-studio,1.0
786,,,r.clymo@qmul.ac.uk,1.0
787,,,ruby,1.0
788,,,scripts,1.0
789,,,simcap,1.0
790,,,simulink,1.0
791,,,spectrum v5.3.1 (ftir),1.0
792,,,spm8,1.0
793,,,spss nvivo,1.0
794,,,ssps,1.0
795,,,stand visualisation system,1.0
796,,,stat-jr,1.0
797,,,statechum,1.0
798,,,supercollider,1.0
799,,,syntactic structures of the worlds languages,1.0
800,,,testexpert 2,1.0
801,,,tex,1.0
802,,,thermo fisher,1.0
803,,,tilia,1.0
804,,,visual doc,1.0
805,,,vmware fusion,1.0
806,,,western blot reader software,1.0
807,,,winbug,1.0
808,,,wingx,1.0
809,,,wolfram mathematica,1.0
810,,,wordpress,1.0
811,,,words,1.0
812,,,world atlas of language structures,1.0
813,,,xd2006,1.0
